feature,importance,coefficient
feature_123,0.03287686849525928,-0.03287686849525928
feature_197,0.03285210289482547,0.03285210289482547
feature_153,0.03250518228141121,0.03250518228141121
feature_382,0.032440854106619815,-0.032440854106619815
feature_672,0.03214583351038892,0.03214583351038892
feature_151,0.03168921184123102,0.03168921184123102
feature_177,0.03142033976539399,-0.03142033976539399
feature_243,0.031246552306795253,-0.031246552306795253
feature_541,0.03085005812854748,0.03085005812854748
feature_653,0.030850058128547454,0.030850058128547454
feature_96,0.03085005812854653,0.03085005812854653
feature_200,0.029843061535986502,0.029843061535986502
feature_184,0.029561423004022206,-0.029561423004022206
feature_388,0.02955890400155758,0.02955890400155758
feature_698,0.02925317411899201,0.02925317411899201
feature_268,0.028849039700617085,0.028849039700617085
feature_194,0.028643670886845937,-0.028643670886845937
feature_251,0.028630736412151678,-0.028630736412151678
feature_271,0.028185739385711533,-0.028185739385711533
feature_128,0.028036674185471497,-0.028036674185471497
feature_392,0.02791754688281973,-0.02791754688281973
feature_363,0.027782637554976723,-0.027782637554976723
feature_113,0.027656289318916158,-0.027656289318916158
feature_400,0.027306780604591088,0.027306780604591088
feature_405,0.027058870270737036,-0.027058870270737036
feature_444,0.026997797932725963,-0.026997797932725963
feature_565,0.026997797932725297,-0.026997797932725297
feature_122,0.026882862758328428,-0.026882862758328428
feature_377,0.026474357572327308,-0.026474357572327308
feature_426,0.02639173594675622,0.02639173594675622
feature_254,0.02639173594675617,0.02639173594675617
feature_270,0.026161339521587675,0.026161339521587675
feature_2,0.025808358144031568,-0.025808358144031568
feature_306,0.025427806340398942,0.025427806340398942
feature_365,0.025427806340398214,0.025427806340398214
feature_117,0.025224524658243215,-0.025224524658243215
feature_267,0.02510657722794704,0.02510657722794704
feature_318,0.024817190568734833,0.024817190568734833
feature_217,0.024580443040481677,-0.024580443040481677
feature_324,0.024506985767070305,0.024506985767070305
feature_334,0.024399355247116585,-0.024399355247116585
feature_259,0.024387918845514642,0.024387918845514642
feature_395,0.024310334393546552,-0.024310334393546552
feature_547,0.02421318518974501,0.02421318518974501
feature_393,0.024070036183519012,-0.024070036183519012
feature_56,0.023924341030877844,-0.023924341030877844
feature_452,0.02392434103087755,-0.02392434103087755
feature_613,0.023924341030877115,-0.023924341030877115
feature_256,0.023640837264367824,0.023640837264367824
feature_632,0.023622132620382933,0.023622132620382933
feature_75,0.02362213262038235,0.02362213262038235
feature_531,0.02362213262038204,0.02362213262038204
feature_58,0.023517850773891666,-0.023517850773891666
feature_615,0.023517850773887808,-0.023517850773887808
feature_454,0.023517850773887808,-0.023517850773887808
feature_369,0.023463094388913794,-0.023463094388913794
feature_136,0.023456316386811032,0.023456316386811032
feature_359,0.02340886771817856,0.02340886771817856
feature_430,0.02318089718579992,-0.02318089718579992
feature_115,0.02303292613063047,-0.02303292613063047
feature_195,0.022733190862979497,-0.022733190862979497
feature_406,0.022660522836357368,-0.022660522836357368
feature_164,0.022647919281842645,0.022647919281842645
feature_10,0.02251682169237058,0.02251682169237058
feature_370,0.022344456559730434,-0.022344456559730434
feature_213,0.02230673790110949,-0.02230673790110949
feature_404,0.02217199154755916,-0.02217199154755916
feature_394,0.021939449708915842,0.021939449708915842
feature_80,0.021847888642608004,-0.021847888642608004
feature_637,0.021847888642606984,-0.021847888642606984
feature_462,0.021847888642604816,-0.021847888642604816
feature_5,0.021844645271482017,-0.021844645271482017
feature_15,0.0216158773286948,0.0216158773286948
feature_458,0.021615877328694313,0.021615877328694313
feature_572,0.021615877328693734,0.021615877328693734
feature_230,0.021152687778976678,0.021152687778976678
feature_263,0.02113347503524973,0.02113347503524973
feature_372,0.021039756167823265,-0.021039756167823265
feature_165,0.020991985772659545,-0.020991985772659545
feature_172,0.020868536072811566,0.020868536072811566
feature_275,0.02029585844392056,0.02029585844392056
feature_104,0.02026338475880917,0.02026338475880917
feature_661,0.02026338475880895,0.02026338475880895
feature_508,0.020263384758808446,0.020263384758808446
feature_402,0.01965505052599994,0.01965505052599994
feature_420,0.019503228719413075,0.019503228719413075
feature_264,0.01950322871941293,0.01950322871941293
feature_603,0.019493811151732425,0.019493811151732425
feature_459,0.019493811151731214,0.019493811151731214
feature_46,0.019493811151729837,0.019493811151729837
feature_544,0.01836936153080307,0.01836936153080307
